iter	Logloss
0	0.6730896873
1	0.6539596568
2	0.6381709355
3	0.6217773772
4	0.604538225
5	0.588990344
6	0.5758303121
7	0.5645200506
8	0.5512977302
9	0.539467354
10	0.5272990911
11	0.5149389916
12	0.5041412834
13	0.4922772772
14	0.4831614406
15	0.4743355732
16	0.4663779424
17	0.4584727826
18	0.449092335
19	0.4408800359
20	0.4343544126
21	0.4277317431
22	0.4210822532
23	0.4147568637
24	0.408087906
25	0.4012214718
26	0.3947184078
27	0.3889453844
28	0.381430624
29	0.3758768425
30	0.3705654471
31	0.3636691846
32	0.3589101552
33	0.35378174
34	0.3478185718
35	0.3445619222
36	0.3412711622
37	0.3370790788
38	0.3330396251
39	0.3278722535
40	0.3220050872
41	0.317895324
42	0.3144704204
43	0.310945191
44	0.3078587798
45	0.30490693
46	0.3026130149
47	0.2994814644
48	0.2969118258
49	0.2945407082
50	0.292305447
51	0.2893803758
52	0.286312179
53	0.2828768731
54	0.2801608086
55	0.2777805211
56	0.2754649032
57	0.2724725513
58	0.2700938513
59	0.2666609266
60	0.2640429738
61	0.2608164449
62	0.2583365209
63	0.2558142775
64	0.2538031879
65	0.2520857647
66	0.2499887831
67	0.2488437577
68	0.2472057512
69	0.2457373147
70	0.2435913086
71	0.2418443078
72	0.2401827604
73	0.2393737835
74	0.2376949198
75	0.2363474674
76	0.2349076059
77	0.233303856
78	0.2319667223
79	0.2300897137
80	0.2284081555
81	0.2268727516
82	0.2253100469
83	0.2239871172
84	0.2227864667
85	0.2216411071
86	0.2201924934
87	0.218255515
88	0.2166296863
89	0.2147947046
90	0.2137064115
91	0.212785495
92	0.2119551495
93	0.2107221641
94	0.2094213341
95	0.2079523336
96	0.2067561114
97	0.2058875823
98	0.2044244514
99	0.2036297202
100	0.2027042292
101	0.2019614051
102	0.2013744064
103	0.2005443534
104	0.1996124497
105	0.1988696465
106	0.1969229759
107	0.1961465427
108	0.195179171
109	0.1944606815
110	0.1936877993
111	0.1930414575
112	0.192313631
113	0.1913989809
114	0.1909368099
115	0.1899990575
116	0.1891618398
117	0.188564418
118	0.1876722854
119	0.1867558599
120	0.1862147107
121	0.1848272158
122	0.18421112
123	0.1830473579
124	0.1821423582
125	0.181426438
126	0.1798723601
127	0.1790161968
128	0.1782176849
129	0.1775508518
130	0.1767617395
131	0.1762278176
132	0.1753284995
133	0.174872574
134	0.1742968341
135	0.173377244
136	0.1727427457
137	0.1723424349
138	0.1714511378
139	0.1703791582
140	0.1697777259
141	0.1687280758
142	0.1680530963
143	0.1674097624
144	0.1668763001
145	0.1664550175
146	0.1657899286
147	0.1653133865
148	0.1644378391
149	0.1640270946
150	0.1632806568
151	0.1627982869
152	0.1622956868
153	0.161825714
154	0.1613701227
155	0.1608506972
156	0.1603812571
157	0.1597300588
158	0.1587763583
159	0.1584388686
160	0.1580788197
161	0.1575327827
162	0.1568589729
163	0.1565060678
164	0.156000512
165	0.1554643134
166	0.154894067
167	0.1544389457
168	0.1540958162
169	0.1531662833
170	0.1526723623
171	0.1517473935
172	0.1511382848
173	0.1503938731
174	0.1499647366
175	0.1493927775
176	0.1489996626
177	0.1486751653
178	0.148234979
179	0.1479127272
180	0.1475211476
181	0.1470930868
182	0.146325646
183	0.1460088773
184	0.145668505
185	0.1451035225
186	0.1445444513
187	0.1440456842
188	0.1438867463
189	0.1435941139
190	0.1432627235
191	0.1425658637
192	0.1422369381
193	0.1419854553
194	0.141568319
195	0.1411188062
196	0.1408612031
197	0.1404605268
198	0.1401481237
199	0.1398599091
200	0.1394199212
201	0.1391322288
202	0.1386829666
203	0.1382779664
204	0.1377424153
205	0.1375653778
206	0.1373601831
207	0.1370336805
208	0.1365589348
209	0.1361067274
210	0.1358650307
211	0.1356014641
212	0.1352052369
213	0.1348723216
214	0.1343741499
215	0.1340936952
216	0.1338330112
217	0.1335231564
218	0.1333425784
219	0.1331354307
220	0.1328936713
221	0.132537236
222	0.1322666928
223	0.1317144625
224	0.1314174958
225	0.1311708694
226	0.1309508964
227	0.1299680361
228	0.1298962122
229	0.1296658682
230	0.1292861218
231	0.1287591557
232	0.1285747447
233	0.1282657777
234	0.1279147734
235	0.1277235737
236	0.1274343461
237	0.1271525023
238	0.1267101228
239	0.1264403211
240	0.1260713842
241	0.1259989337
242	0.125652295
243	0.1254293767
244	0.1252103123
245	0.1246916179
246	0.1244485112
247	0.1239556868
248	0.1237279329
249	0.1234401779
250	0.1231256337
251	0.1228877073
252	0.1226726848
253	0.1224132436
254	0.1221395567
255	0.1218584858
256	0.121591316
257	0.1214528485
258	0.1212387451
259	0.1211176878
260	0.1209640346
261	0.1205997454
262	0.1203249201
263	0.1199330794
264	0.1196522801
265	0.1194624486
266	0.1192731394
267	0.1191563538
268	0.1189052052
269	0.1187649831
270	0.1185144611
271	0.1182956683
272	0.1181201347
273	0.1179317028
274	0.1177146436
275	0.1175131253
276	0.1172312189
277	0.116930722
278	0.1167316371
279	0.1165260247
280	0.1163214984
281	0.1161426333
282	0.1159965207
283	0.1158238906
284	0.1154484994
285	0.1152566731
286	0.1149483536
287	0.1148120898
288	0.1144351111
289	0.1143012285
290	0.1140960965
291	0.1139234142
292	0.113734836
293	0.1134178167
294	0.1132670878
295	0.1130186338
296	0.1128561554
297	0.1124889209
298	0.1123411582
299	0.1122007899
300	0.1119756783
301	0.1118688564
302	0.1117288536
303	0.1115343328
304	0.1113354254
305	0.1110998594
306	0.1109404411
307	0.1107005616
308	0.1104830638
309	0.1103317814
310	0.1101299811
311	0.1099125459
312	0.1097110485
313	0.1095306793
314	0.1093821437
315	0.1092453682
316	0.109138306
317	0.1089993476
318	0.108873225
319	0.1086695552
320	0.108526816
321	0.1083767765
322	0.1082148307
323	0.1080679035
324	0.1079157543
325	0.1076863711
326	0.1074794636
