iter	Passed	Remaining
0	21	21914
1	29	14716
2	36	12253
3	44	11066
4	51	10309
5	59	9823
6	66	9430
7	73	9168
8	81	8970
9	89	8818
10	96	8662
11	103	8546
12	111	8436
13	118	8343
14	125	8262
15	133	8195
16	140	8128
17	147	8066
18	155	8009
19	162	7957
20	169	7921
21	177	7878
22	184	7838
23	191	7799
24	199	7766
25	206	7736
26	213	7703
27	221	7676
28	228	7647
29	235	7628
30	243	7604
31	250	7584
32	258	7563
33	265	7543
34	272	7519
35	280	7499
36	287	7481
37	294	7459
38	302	7442
39	309	7427
40	317	7415
41	324	7404
42	332	7390
43	339	7373
44	346	7359
45	354	7343
46	361	7331
47	368	7316
48	376	7301
49	383	7289
50	390	7275
51	400	7310
52	408	7294
53	415	7282
54	422	7267
55	430	7257
56	438	7246
57	445	7235
58	452	7222
59	460	7214
60	468	7204
61	477	7228
62	485	7218
63	492	7206
64	500	7194
65	507	7185
66	515	7174
67	522	7166
68	530	7153
69	537	7141
70	545	7131
71	552	7118
72	559	7106
73	567	7096
74	574	7086
75	581	7074
76	589	7064
77	596	7052
78	604	7042
79	611	7030
80	618	7017
81	626	7009
82	633	6998
83	640	6989
84	648	6978
85	655	6968
86	663	6958
87	670	6947
88	678	6944
89	685	6934
90	693	6923
91	700	6913
92	707	6904
93	715	6891
94	723	6895
95	735	6921
96	742	6910
97	749	6900
98	756	6889
99	764	6877
100	771	6867
101	778	6857
102	786	6848
103	793	6838
104	801	6828
105	808	6818
106	815	6808
107	823	6798
108	830	6789
109	838	6780
110	845	6770
111	852	6760
112	860	6750
113	867	6741
114	874	6731
115	882	6723
116	889	6713
117	897	6705
118	904	6696
119	911	6687
120	919	6679
121	926	6670
122	934	6660
123	941	6650
124	949	6647
125	960	6663
126	971	6675
127	982	6691
128	993	6709
129	1004	6722
130	1016	6745
131	1027	6759
132	1038	6771
133	1046	6760
134	1053	6749
135	1060	6739
136	1068	6728
137	1075	6717
138	1082	6706
139	1090	6697
140	1097	6685
141	1104	6676
142	1112	6665
143	1119	6655
144	1126	6645
145	1134	6634
146	1141	6624
147	1148	6613
148	1156	6605
149	1163	6594
150	1171	6584
151	1178	6574
152	1185	6564
153	1193	6554
154	1200	6544
155	1208	6535
156	1215	6525
157	1222	6516
158	1230	6506
159	1237	6498
160	1246	6493
161	1253	6483
162	1260	6474
163	1268	6465
164	1275	6455
165	1283	6446
166	1290	6436
167	1297	6427
168	1305	6419
169	1312	6410
170	1320	6400
171	1327	6390
172	1334	6381
173	1342	6371
174	1349	6362
175	1356	6352
176	1364	6344
177	1373	6341
178	1380	6332
179	1388	6323
180	1395	6313
181	1402	6304
182	1409	6294
183	1417	6285
184	1424	6275
185	1432	6267
186	1439	6257
187	1446	6248
188	1454	6239
189	1461	6230
190	1468	6221
191	1476	6212
192	1483	6203
193	1490	6194
194	1498	6184
195	1506	6177
196	1514	6173
197	1521	6164
198	1529	6156
199	1536	6147
200	1544	6138
201	1551	6129
202	1559	6121
203	1566	6112
204	1573	6103
205	1581	6094
206	1588	6085
207	1595	6076
208	1603	6067
209	1610	6060
210	1618	6050
211	1625	6042
212	1632	6033
213	1640	6024
214	1647	6015
215	1655	6007
216	1662	5998
217	1669	5989
218	1677	5981
219	1684	5972
220	1691	5964
