iter	Passed	Remaining
0	24	24272
1	41	20812
2	58	19439
3	77	19411
4	96	19140
5	112	18654
6	128	18271
7	145	18007
8	161	17797
9	179	17741
10	195	17558
11	211	17418
12	229	17426
13	253	17869
14	271	17848
15	288	17752
16	304	17634
17	322	17570
18	338	17487
19	354	17394
20	371	17307
21	389	17298
22	405	17240
23	422	17165
24	450	17573
25	479	17965
26	507	18303
27	534	18568
28	564	18889
29	592	19143
30	621	19414
31	645	19532
32	664	19461
33	680	19337
34	697	19223
35	714	19127
36	731	19043
37	747	18936
38	764	18828
39	779	18710
40	795	18604
41	811	18506
42	828	18428
43	844	18341
44	860	18258
45	876	18173
46	892	18093
47	908	18015
48	924	17948
49	941	17882
50	956	17806
51	986	17980
52	1017	18173
53	1047	18352
54	1077	18514
55	1103	18596
56	1119	18525
57	1136	18452
58	1152	18379
59	1168	18301
60	1184	18228
61	1200	18163
62	1215	18083
63	1231	18015
64	1247	17948
65	1273	18028
66	1293	18010
67	1308	17933
68	1324	17869
69	1340	17803
70	1357	17759
71	1373	17704
72	1390	17660
73	1406	17601
74	1430	17644
75	1461	17764
76	1489	17853
77	1518	17945
78	1547	18045
79	1571	18069
80	1588	18018
81	1604	17965
82	1621	17912
83	1637	17851
84	1653	17796
85	1669	17741
86	1685	17689
87	1702	17639
88	1717	17583
89	1733	17525
90	1750	17481
91	1766	17435
92	1782	17388
93	1798	17337
94	1814	17289
95	1832	17256
96	1848	17208
97	1863	17155
98	1879	17106
99	1898	17082
100	1914	17037
101	1930	16992
102	1946	16950
103	1962	16910
104	1979	16875
105	1996	16834
106	2018	16843
107	2034	16807
108	2051	16765
109	2067	16729
110	2084	16695
111	2100	16651
112	2115	16608
113	2132	16577
114	2148	16535
115	2165	16504
116	2181	16461
117	2197	16422
118	2212	16383
119	2231	16365
120	2247	16326
121	2263	16289
122	2285	16297
123	2308	16309
124	2324	16272
125	2340	16233
126	2355	16195
127	2372	16163
128	2388	16128
129	2410	16130
130	2439	16185
131	2467	16222
132	2497	16281
133	2524	16317
134	2552	16355
135	2580	16396
136	2608	16428
137	2634	16457
