iter	Passed	Remaining
0	9272	9263502
1	15746	7857734
2	19548	6496612
3	23265	5793110
4	27331	5438907
5	36465	6041185
6	39815	5648104
7	43433	5385753
8	47035	5179171
9	50869	5036097
10	55505	4990411
11	63056	5191628
12	76572	5813607
13	79637	5608782
14	82730	5432656
15	85763	5274465
16	89228	5159493
17	93315	5090895
18	96984	5007444
19	100448	4921970
20	103926	4844940
21	107539	4780611
22	111344	4729724
23	115476	4696056
24	119328	4653804
25	123326	4620004
26	127746	4603611
27	132180	4588549
28	136666	4575959
29	140404	4539756
30	144393	4513453
31	148187	4482663
32	151670	4444404
33	154874	4400271
34	158026	4357022
35	161576	4326647
36	165119	4297576
37	168422	4263747
38	171903	4235878
39	175356	4208567
40	178922	4185039
41	182489	4162496
42	186476	4150178
43	192834	4189763
44	197828	4198355
45	201888	4186993
46	205358	4163973
47	208769	4140586
48	212284	4120056
49	215862	4101379
50	220298	4099273
51	227795	4152878
52	230697	4122081
53	233639	4093011
54	236548	4064330
55	239455	4036537
56	242495	4011808
57	245734	3991071
58	248950	3970554
59	252335	3953260
60	255658	3935460
61	259584	3927255
62	263089	3912930
63	266615	3899251
64	270246	3887391
65	275596	3900106
66	279850	3897026
67	283819	3890000
68	288219	3888870
69	292662	3888225
70	296127	3874682
71	299589	3861378
72	302934	3846858
73	306565	3836210
74	309892	3822007
75	313099	3806627
76	316360	3792222
77	320781	3791805
78	325935	3799825
79	329481	3789040
80	333164	3779982
81	337112	3774012
82	342396	3782860
83	348662	3802084
84	352186	3791179
85	355687	3780217
86	359218	3769733
87	363129	3763345
88	366563	3752130
89	370210	3743236
90	373527	3731169
91	376870	3719546
92	380408	3710004
93	383817	3699349
94	387232	3688901
95	390660	3678723
96	394363	3671242
97	398241	3665451
98	402164	3660101
99	406011	3654100
100	409522	3645155
101	412943	3635524
102	416335	3625752
103	419755	3616353
104	423045	3605959
105	426176	3594354
106	429321	3583027
107	432468	3571870
108	435621	3560904
109	438929	3551336
110	442338	3542695
111	445763	3534265
112	449210	3526100
113	452846	3519493
114	456703	3514632
115	460564	3509821
116	464402	3504851
117	468067	3498603
118	471516	3490805
119	475014	3483441
120	478455	3475723
121	481897	3468078
122	485742	3463386
123	489570	3458577
124	493398	3453791
125	497172	3448642
126	500599	3441131
127	504002	3433514
128	507404	3425964
129	510812	3418512
130	514026	3409841
131	517186	3400895
132	520347	3392041
133	523474	3383053
134	526614	3374233
135	530044	3367341
136	534748	3368525
137	539024	3366951
138	542543	3360648
139	546401	3356467
140	550291	3352486
141	554121	3348144
142	558082	3344594
143	561536	3338020
144	564959	3331315
145	568374	3324601
146	571787	3317921
147	574952	3309860
148	578106	3301801
149	581258	3293798
150	584489	3286302
151	587707	3278789
152	591217	3272946
153	594659	3266763
154	598075	3260475
155	601522	3254391
156	605378	3250536
157	609241	3246719
158	613080	3242772
159	616897	3238712
160	620314	3232570
161	623730	3226456
162	627143	3220362
163	630587	3214459
164	633800	3207415
165	636933	3200017
166	640114	3192905
167	643242	3185580
168	646379	3178352
169	649773	3172423
170	653219	3166777
171	656636	3161016
172	660087	3155446
173	663736	3150841
174	667964	3148976
175	671985	3146113
176	675887	3142685
177	679376	3137344
178	687458	3153093
179	690398	3145147
180	693627	3138568
181	696784	3131699
182	699926	3124807
183	707920	3139473
184	710881	3131720
185	713737	3123561
186	716596	3115469
187	721894	3117969
188	724736	3109847
189	730184	3112891
190	733031	3104829
191	735981	3097257
192	739374	3091581
193	742783	3085997
194	746191	3080429
195	749606	3074915
196	753181	3070075
197	757056	3066461
198	761259	3064165
199	766509	3066037
200	769556	3059084
201	773032	3053859
202	776439	3048386
203	779879	3043060
204	783138	3037050
205	786406	3031099
206	789537	3024654
207	792672	3018251
208	795804	3011873
209	799141	3006293
210	802559	3001039
211	805959	2995735
212	809385	2990544
213	812981	2985999
214	816818	2982337
215	820674	2978743
216	824504	2975054
217	828139	2970666
218	831545	2965466
219	834965	2960333
220	838369	2955159
221	841816	2950148
222	845630	2946432
223	849448	2942732
224	853270	2939042
225	857047	2935197
226	860815	2931324
227	864224	2926232
228	867616	2921102
229	871043	2916103
230	874207	2910241
231	877411	2904534
232	880755	2899310
233	883908	2893478
234	887105	2887810
235	890519	2882869
236	893963	2878035
237	897372	2873099
238	900822	2868309
239	904579	2864500
240	908410	2860928
241	912244	2857360
242	916078	2853792
243	919526	2849025
244	922930	2844133
245	926324	2839221
246	932000	2841280
247	934874	2834781
248	938016	2829118
249	941170	2823510
250	944312	2817889
251	947532	2812515
252	950960	2807777
253	954379	2803020
254	957783	2798229
255	961202	2793495
256	965039	2789979
257	968949	2786667
258	972785	2783143
259	976592	2779531
260	979990	2774761
261	983837	2771266
262	987269	2766608
263	990688	2761920
264	994459	2758218
265	998275	2754640
266	1002110	2751111
267	1005963	2747631
268	1009418	2743066
269	1012854	2738459
270	1016274	2733817
271	1019694	2729182
272	1023413	2725352
273	1027247	2721830
274	1031086	2718320
275	1034923	2714798
276	1038487	2710564
277	1041888	2705911
278	1045277	2701236
279	1048688	2696627
280	1052072	2691958
281	1055200	2686645
282	1058361	2681431
283	1061514	2676212
284	1064631	2670917
285	1067884	2665978
286	1071315	2661490
287	1074723	2656955
288	1078127	2652417
289	1081566	2647971
290	1085382	2644454
291	1089255	2641071
292	1093069	2637542
293	1104163	2651494
294	1108616	2649405
